西幹北段,,,,
Seq,三碼,四碼,站名,里程數
1,92,1001,基隆,0
2,224,1029,三坑,1.3
3,93,1002,八堵,3.7
4,94,1003,七堵,6
5,261,1030,百福,8.7
6,95,1004,五堵,11.7
7,96,1005,汐止,13.1
8,262,1031,汐科,14.6
9,97,1006,南港,19.1
10,98,1007,松山,21.9
11,100,1008,臺北,28.3
12,101,1009,萬華,31.1
13,102,1011,板橋,35.5
14,264,1032,浮洲,38
15,103,1012,樹林,40.9
16,265,1034,南樹林,42.9
17,104,1013,山佳,44.8
18,105,1014,鶯歌,49.2
19,106,1015,桃園,57.4
20,107,1016,內壢,63.3
21,108,1017,中壢,67.3
22,109,1018,埔心,73.1
23,110,1019,楊梅,77.1
24,111,1020,富岡,83.9
25,,1036,新富,85.6
26,271,1033,北湖,87.1
27,112,1021,湖口,89.6
28,113,1022,新豐,95.8
29,114,1023,竹北,100.6
30,237,1024,北新竹,105
31,115,1025,新竹,106.4
32,273,1035,三姓橋,111.2
33,116,1026,香山,114.4
34,117,1027,崎頂,120.8
35,118,1028,竹南,125.4
,,,,
西幹山段,,,,
Seq,三碼,四碼,站名,里程數
1,118,1028,竹南,0
2,135,1302,造橋,5.3
3,136,1304,豐富,11.7
4,137,1305,苗栗,15.2
5,138,1307,南勢,21.8
6,139,1308,銅鑼,26
7,140,1310,三義,33.4
8,142,1314,泰安,44.3
9,143,1315,后里,46.9
10,144,1317,豐原,53.7
11,145,1318,潭子,58.7
12,225,1323,太原,63.8
13,146,1319,臺中,67.9
14,223,1322,大慶,72.1
15,147,1320,烏日,75.1
16,280,1324,新烏日,75.9
17,148,1321,成功,78.4
18,,1119,大肚溪南,80.5
19,149,1120,彰化,85.5
,,,,
西幹海段,,,,
Seq,三碼,四碼,站名,里程數
1,118,1028,竹南,0
2,119,1102,談文,4.5
3,,1103,談文南,6.3
4,120,1104,大山,11.2
5,121,1105,後龍,15
6,122,1106,龍港,18.6
7,123,1107,白沙屯,26.7
8,124,1108,新埔,29.8
9,125,1109,通霄,35.6
10,126,1110,苑裡,41.7
11,127,1111,日南,49.4
12,128,1112,大甲,54
13,129,1113,臺中港,59.3
14,130,1114,清水,65.3
15,131,1115,沙鹿,68.5
16,132,1116,龍井,73.1
17,133,1117,大肚,78.1
18,134,1118,追分,83.1
19,,1119,大肚溪南,85.2
20,149,1120,彰化,90.2
,,,,
西幹南段,,,,
Seq,三碼,四碼,站名,里程數
1,149,1120,彰化,0
2,150,1202,花壇,6.6
3,227,1240,大村,11.2
4,151,1203,員林,14.7
5,152,1204,永靖,18.2
6,153,1205,社頭,21.9
7,154,1206,田中,26.2
8,155,1207,二水,32
9,156,1208,林內,40.1
10,157,1209,石榴,44.9
11,158,1210,斗六,49.7
12,159,1211,斗南,57.3
13,160,1212,石龜,61.2
14,161,1213,大林,65.8
15,162,1214,民雄,71.6
16,228,1241,嘉北,78.3
17,163,1215,嘉義,80.9
18,164,1217,水上,87.5
19,165,1218,南靖,90.1
20,166,1219,後壁,96.1
21,167,1220,新營,103.8
22,168,1221,柳營,107.1
23,169,1222,林鳳營,111
24,170,1223,隆田,116.5
25,171,1224,拔林,118.7
26,172,1225,善化,123.3
27,282,1244,南科,126.2
28,173,1226,新市,130.9
29,174,1227,永康,135.9
30,226,1239,大橋,139.6
31,175,1228,臺南,142.3
32,176,1229,保安,149.9
33,281,1243,仁德,151.3
